example_id,query_id,product_id,query,query_source
107085,4325,B00KWNC4O0,4G basic phones with keyboards ,enhanced
107094,4326,B07GBRB55Z,4G flip phones under $100 rated above 4 stars with 150+ reviews.,enhanced
118424,4864,B077ZRWXPH,Show me 6-inch screen phones between $100 and $200 and rated 4.2+ stars from 250+ reviews.,enhanced
176891,7796,B07YZP6Y7Z,I need an unlocked Alcatel phones for less than $40.,enhanced
176895,7796,B07PHTYGY7,I need an unlocked Alcatel phones for less than $40.,enhanced
176896,7796,B07JZSKYXP,I need an unlocked Alcatel phones for less than $40.,enhanced
176897,7796,B088MKVYTF,I need an unlocked Alcatel phones for less than $40.,enhanced
176899,7796,B078TK99X5,I need an unlocked Alcatel phones for less than $40.,enhanced
200456,9056,B07R7DY911,Android One phones between with rating higher than 4.4 stars and at least 500 reviews.,enhanced
200461,9056,B07N92347B,Android One phones between with rating higher than 4.4 stars and at least 500 reviews.,enhanced
200462,9056,B07N91S9MW,Android One phones between with rating higher than 4.4 stars and at least 500 reviews.,enhanced
211572,9623,B07Z4681LQ,Apple 11 Pro Max,original_esci
212283,9661,B07P6Y7954,Apple cell phones with at least 4.4 star ratings.,enhanced
212285,9661,B07757LZ1J,Apple cell phones with at least 4.4 star ratings.,enhanced
212326,9664,B07KKKH5CK,Find me Apple certified refurbished iPhones between $300 and $500.,enhanced
212330,9664,B077578W38,Find me Apple certified refurbished iPhones between $300 and $500.,enhanced
213510,9721,B07ZQRL9XY,"Apple iPhone 11 Pro with 12,000 reviews or higher.",enhanced
213562,9724,B07ZQRL9XY,I need an Unlocked iPhone 11 Pro,enhanced
213758,9736,B07TC98DN3,Show me iPhone XR 128GB models that are priced over $300.,enhanced
213812,9739,B07KKKH5CK,Apple iPhone XS Max 64GB fully unlocked like new under $400.,enhanced
214479,9774,B07YWB338N,I want a new unlocked Apple phones priced between $280 and $350.,enhanced
214481,9774,B07K8RNW7H,I want a new unlocked Apple phones priced between $280 and $350.,enhanced
214489,9774,B07756XHL4,I want a new unlocked Apple phones priced between $280 and $350.,enhanced
237351,10922,B082WNRSPY,Search for cell phones with 4.3+ stars that are compatible with at&t.,enhanced
237359,10922,B07MY7XPNZ,Search for cell phones with 4.3+ stars that are compatible with at&t.,enhanced
237362,10922,B07KCKNZ59,Search for cell phones with 4.3+ stars that are compatible with at&t.,enhanced
