asin,price_synthetic
B06XXXLJ6V,22.5
B07C71K6JM,10.99
B07JLT2DMN,18.75
B0822PMZNJ,
B08DRHQ6WB,
B07JNCMMD3,45.0
B07WJK5YB7,55.99
B07Q7G5PYK,14.99
B07P398D2V,
B07YC39S8V,
B07BKSCSQB,
B07R7KQVGH,12.5
B072J6VPNT,16.99
B07TB4ZBFC,8.99
B081S7CB96,29.99
B087V61QD7,79.99
B07MDYYXN2,9.99
B07Q3VHWR3,7.49
B07V45TBWW,6.99
B07W6PCB86,
B07HC7SLMZ,
B07PQLN5RW,8.49
B07YRSVDM3,10.99
B07LD9L2HD,12.99
B0177F3KK2,19.99
B07GPJP8ZC,24.99
B081CBFNVS,29.99
B07XLH9BQG,12.99
B07VHJGXWY,10.49
B07RW2D45Q,
B01I7BUUY4,
B012NA9KMI,
B07DBZDT89,
B07VYVRFXL,28.77
B07XX8FVVC,8.5
B07T3Z8FD1,
B07FPHQM7J,
B01LGY2P56,
B074M4V833,14.25
B085H85FPD,18.99
B07L3ZVF5Q,
B07KF4XFVT,35.5
B07VKRYH1Y,12.99
B077GN97YC,
B08F9KW632,
B019PBJB22,17.99
B07K25GQL7,16.75
B071NFTWKW,14.99
B095LHL2G5,
B015NWK4R8,
B07HCH6F8R,8.99
B07FJ74L45,9.99
B07SQ8WJWP,16.99
B07KT7HBP6,12.49
B07QNS8T7F,29.99
B075WWQBR6,
B083GGV269,
B083R595YJ,49.99
B07XYKB6V8,13.99
B07X92592K,14.49
B075V2661K,11.99
B07WP6DJPV,12.99
B07SC3G19S,14.5
B0813BJ9HN,
B078NLG53R,7.99
B079Y8B54J,
B07WVGCCH7,18.75
B01JR0Q0YI,24.99
B08RDJHCV5,115.0
B07QG9P71V,18.5
B0788GXWJQ,
B07VKZ6R3K,
B07SZHKWKM,
B07T8TRBNQ,
B07C1NDHBL,29.99
B07GKRXM4K,27.99
B07SZTRQDC,22.5
B07SXX42XJ,14.99
B07Q36HHNR,24.5
B07P7NZN4N,
B083LLY3DG,
B08HXXPSNG,12.75
B07G6HCRYN,28.99
B07QV2JKGQ,149.0
B07PF93P1X,18.5
B00A7YRIJK,
B08TV3V674,
B074SDRGJ1,
B00QR4YF5O,8.99
B07W6297WS,
B083NTZM7P,
B076PZCY2D,165.0
B075ZLCSGP,22.99
B07TCP9TVJ,119.0
B07HH4L9P2,10.75
B07V6WRZT7,15.25
B07P679XZ9,14.99
B07C7PRK49,9.5
B07TQHL6MD,17.99
B07NSRFCQP,
B07KBWXLVR,
B07KF1R5BR,19.99
B07H16NV3X,28.75
B07FZW4K5D,35.5
B07XFLQQP6,
B07KY7FR19,12.99
B07CJ3JVHF,8.49
B071FM63JT,
B07QXR32CQ,10.79
B01LP96GD4,49.99
B07D11TPHX,15.5
B07Z9XLRGD,24.99
B01FMLQTHO,39.99
B077T99FSB,
B07GJZJZFD,34.95
B07T3PTHKG,22.99
B07GNBL6XS,8.99
B096JD5RP6,18.5
B07FM8R7J1,22.99
B07H93NYC5,
B07C9HRS18,18.5
B07H84XLCX,55.0
B07R7QS2X9,12.99
B08461HNS3,22.75
B07ZDC5567,10.99
B07WH13HBS,
B088D4CNHV,9.99
B07P2YCFR6,
B07V1PDJS3,45.0
B07XSRG2BZ,399.0
B0847LL8Z1,
B01LJRJD50,15.99
B07QSWLGGM,28.5
B0953HVDB7,28.99
B083BKW728,14.5
B075XJ7XVL,
B07H4J5Y1P,
B07JYZVX1Q,
B07NC3B48V,
B07YJHCGLL,
B086TSYFD8,16.75
B07W8F2YVG,11.2
B07K1XZ5LK,185.0
B07VSSSWRJ,
B07Z1Q7K17,
B07B4ZDNM6,12.5
B08B136DSN,
B07KT1SMRX,
B07LF16QQ3,15.99
B073PDC68K,250.0
B07VMPSD3P,14.75
B08D9LSMLF,10.75
B07WRH35LP,18.99
B07RFLQGB3,
B08FC8ZYYW,
B08D3WYMD8,16.49
B07GBM4KWN,
B07N1GW9V4,12.99
B07RC31H15,14.75
B07T94DM3Y,399.0
B07WFSCMC2,21.5
B097CTFLY1,35.0
B07WHQNC7Y,
B0793JJK89,45.99
B07KLGMVWP,699.0
B01AWGY4TE,
B07TRKTF2R,19.99
B07V7BXNDT,24.99
B07KX988L1,
B086LJB7KT,29.99
B07GSL42P8,
B07J6RQYZR,
B07895M1L6,27.5
B08GYQ8BYM,21.99
B07D4X5TP2,24.95
B07D5T2QQF,16.99
B08XJCNM7G,
B07SNBB9TG,9.99
B071L6JCVZ,
B07XW98P7F,8.49
B08CDP9GY3,12.99
B07PXSNRYY,
B07XR2R5SX,
B082LV8387,
B07VCYL89F,14.99
B089HXXJGX,299.0
B079L4S8HH,
B07TT34C8G,
B07VT12D7M,12.99
B00Z7RK9OS,119.0
B07N7N9SD5,49.99
B07L9QLMY2,
B08DV46FLT,18.5
